Source File Name = 

Memory Chunck Size = 512

278,1.84,2,8
279,1.84,1,3
280,1.83,3,11
281,1.82,2,4
282,1.82,1,9
283,1.81,1,13
284,1.80,2,5
285,1.80,1,6
286,1.79,3,10
287,1.78,0,8
288,1.78,2,11
289,1.77,1,14
290,1.77,3,12
291,1.76,2,13
292,1.75,1,9
293,1.75,3,16
294,1.74,1,10
295,1.74,1,17
296,1.73,0,21
297,1.72,2,19
298,1.72,1,15
299,1.71,4,18
300,1.71,1,30
301,1.70,3,21
302,1.70,2,23
303,1.69,3,24
304,1.68,3,27
305,1.68,0,26
306,1.67,0,41
307,1.67,5,34
308,1.66,0,33
309,1.66,3,44
310,1.65,1,41
311,1.65,3,51
312,1.64,2,58
313,1.64,3,61
314,1.63,2,69
315,1.63,1,73
316,1.62,1,72
317,1.62,0,79
318,1.61,2,101
319,1.61,3,91
320,1.60,0,88
321,1.60,3,72
322,1.59,3,83
323,1.59,1,98
324,1.58,3,74
325,1.58,3,69
326,1.57,3,70
327,1.57,2,89
328,1.56,1,79
329,1.56,3,55
330,1.55,4,47
331,1.55,0,37
332,1.54,8,43
333,1.54,5,37
334,1.53,1,23
335,1.53,2,19
336,1.52,8,18
337,1.52,6,16
338,1.51,9,11
339,1.51,5,10
340,1.51,4,12
341,1.50,10,10
342,1.50,2,6
343,1.49,4,8
344,1.49,5,2
345,1.48,5,6
346,1.48,4,1
347,1.48,6,4
348,1.47,3,3
349,1.47,4,3
350,1.46,6,2
351,1.46,6,1
352,1.45,5,2
353,1.45,3,0
354,1.45,7,0
355,1.44,6,1
356,1.44,5,1
357,1.43,10,0
358,1.43,4,1
359,1.43,4,0
360,1.42,4,0
361,1.42,2,1
362,1.41,7,1
363,1.41,11,0
364,1.41,1,0
365,1.40,6,0
366,1.40,13,0
367,1.40,6,0
368,1.39,7,0
369,1.39,13,0
370,1.38,10,0
371,1.38,8,0
372,1.38,13,0
373,1.37,11,1
374,1.37,14,0
375,1.37,11,0
376,1.36,12,0
377,1.36,21,0
378,1.35,12,0
379,1.35,11,0
380,1.35,9,0
381,1.34,10,0
382,1.34,16,0
383,1.34,21,0
384,1.33,15,0
385,1.33,13,1
386,1.33,17,0
387,1.32,14,0
388,1.32,14,0
389,1.32,22,0
390,1.31,19,0
391,1.31,24,0
392,1.31,29,0
393,1.30,10,0
394,1.30,20,0
395,1.30,19,0
396,1.29,35,0
397,1.29,28,0
398,1.29,20,0
399,1.28,33,0
400,1.28,33,0
401,1.28,30,0
402,1.27,35,0
403,1.27,35,0
404,1.27,31,0
405,1.26,51,0
406,1.26,49,0
407,1.26,42,0
408,1.25,42,0
409,1.25,34,0
410,1.25,39,0
411,1.25,43,0
412,1.24,49,0
413,1.24,53,0
414,1.24,45,0
415,1.23,50,0
416,1.23,54,0
417,1.23,52,0
418,1.22,48,0
419,1.22,52,0
420,1.22,54,0
421,1.22,57,0
422,1.21,42,0
423,1.21,53,0
424,1.21,39,0
425,1.20,40,0
426,1.20,48,0
427,1.20,53,0
428,1.20,38,0
429,1.19,28,0
430,1.19,35,0
431,1.19,39,0
432,1.19,40,0
433,1.18,39,0
434,1.18,20,0
435,1.18,20,0
436,1.17,23,0
437,1.17,15,0
438,1.17,17,0
439,1.17,9,0
440,1.16,13,0
441,1.16,7,0
442,1.16,5,0
443,1.16,8,0
444,1.15,5,0
445,1.15,7,0
446,1.15,1,0
447,1.15,2,0
448,1.14,4,0
449,1.14,1,0
450,1.14,2,0
451,1.14,1,0
452,1.13,1,0
453,1.13,0,0
454,1.13,0,0
455,1.13,0,0
456,1.12,0,0
457,1.12,0,0
458,1.12,0,0
459,1.12,0,0
460,1.11,0,0
461,1.11,1,0
462,1.11,0,0
463,1.11,0,0
464,1.10,0,0
465,1.10,0,0
466,1.10,0,0
467,1.10,0,0
468,1.09,0,0
469,1.09,0,0
470,1.09,0,0
471,1.09,0,0
472,1.08,0,0
473,1.08,0,0
474,1.08,0,0
475,1.08,0,0
476,1.08,0,0
477,1.07,0,0
478,1.07,0,0
479,1.07,0,0
480,1.07,0,0
481,1.06,0,0
482,1.06,0,0
483,1.06,0,0
484,1.06,0,0
485,1.06,0,0
486,1.05,0,0
487,1.05,0,0
488,1.05,0,0
489,1.05,0,0
490,1.04,0,0
491,1.04,0,0
492,1.04,0,0
493,1.04,0,0
494,1.04,0,0
495,1.03,0,0
496,1.03,0,0
497,1.03,0,0
498,1.03,0,0
499,1.03,0,0
500,1.02,0,0
501,1.02,0,0
502,1.02,0,0
503,1.02,0,0
504,1.02,0,0
505,1.01,0,0
506,1.01,0,0
507,1.01,0,0
508,1.01,0,0
509,1.01,0,0
510,1.00,0,0
511,1.00,0,0
512,1.00,0,0
513,1.00,0,0
514,1.00,0,0
515,0.99,0,0
516,0.99,0,0
517,0.99,0,0
518,0.99,0,0
519,0.99,0,0
520,0.98,0,0
521,0.98,0,0
522,0.98,0,0
523,0.98,0,0
524,0.98,0,0
525,0.98,0,0
526,0.97,0,0
527,0.97,0,0

Compression ratio static Huffman = 2.00 dynamic Huffman = 2.49

